版本,名称,日文,属性,获得方法,使用代码,图片,对目标,无目标,最新绿点
5.15,头痛,頭痛,通常,泪男子拉图迦(乌尔达哈来生回廊X:12.5 Y:13.0)<br />同盟徽章400兑换<br />需完成青魔法师60级职业任务「永别了，初代蓝色假面」后，开放兑换,/headache,064387.tex,x对x感到头疼露出了苦相。,x因头痛而面露苦相。,0
5.11,背靠,斜め立ち,持续,艾妮(天穹街X:12.0 Y:14.0）<br />天穹街振兴票x1800兑换,/lean,064388.tex,无,无,0
5.1,干杯,乾杯する,通常,官网道具商城购买,/toast,064386.tex,向x举起杯子想要碰撞一下。,x高举杯子一饮而尽。,0
5.x,趾踵步,ヒールトー,持续,官网道具商城购买,/heeltoe,064376.tex,对x跳起了趾踵步。,跳起了趾踵步。,0
5.x,古菩步,グゥーブー?ドゥ,持续,官网道具商城购买,/goobbuedo,064377.tex,对x跳起了古菩步。,跳起了古菩步。,0
4.5,究极,アルテマ,持续,国际服实体特典,/ultima,064364.tex,向x展现了究极的力量。,展开双翼，发动究极！,0
*,寒冰的幻想,氷結の幻想,持续,实体特典,/iceheart,064332.tex,在x面前与冰共舞。,与冰共舞。,0
*,斩铁剑,斬鉄剣,持续,实体特典,/zantetsuken,064327.tex,在x面前斩裂了空间。,斩裂了空间。,0
*,百万核爆,メガフレア,持续,官网道具商城购买,/megaflare,064352.tex,对x使用了“百万核爆”，没有造成伤害。,放出了核爆般的光芒。,0
*,蓄力迸发,力を高める,通常,官网道具商城购买,/powerup,064339.tex,对着x爆气。,开始蓄力。,0
4.4,波波托步,ポポトステップ,持续,官网道具商城购买,/popotostep,064371.tex,x对x跳起了波波托步。,x跳起了波波托步。,0
4.4,幻想舞步,ゲットファンタジー,持续,官网道具商城购买,/getfantasy,064370.tex,x对x跳起了幻想舞步。,x跳起了幻想舞步。,0
*,侧步,サイドステップ,持续,官网道具商城购买,/sidestep,064363.tex,在x面前秀起了侧步。,跳起了侧步。,0
*,方形步,ボックスステップ,持续,官网道具商城购买,/boxstep,064362.tex,对着x跳起了方形步。,踩着方形步翩翩起舞。,0
*,东方传统舞蹈,東方の伝統舞踊,持续,官网道具商城购买,/easterndance,064093.tex,在x面前跳起了东方传统舞蹈。,跳起了东方传统舞蹈。,0
*,小黄莺之舞,歌姫を真似る,持续,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/songbird,064336.tex,在x面前跳起了小黄莺之舞。,跳起了小黄莺之舞。,0
*,声援小红,声援：赤,持续,季节活动：女儿节（2019）<br/>可等次年道具商城购买,/cheerjump,064357.tex,热烈声援x。,开始声援。,0
*,声援小黄,声援：黄,持续,季节活动：女儿节（2019）<br/>可等次年道具商城购买,/cheerwave,064356.tex,热烈声援x。,开始声援。,0
*,声援小蓝,声援：青,持续,季节活动：女儿节（2019）<br/>可等次年道具商城购买,/cheeron,064355.tex,热烈声援x。,开始声援。,0
*,深情拥抱,抱き合う,通常,双方结下永结同心誓约<br/>纯情之誓/激情之誓/钟情之誓皆可获得,/embrace,064078.tex,深情拥抱了x。,做出了深情拥抱的动作。,0
*,表达爱意,愛を表現する,通常,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/dote,064334.tex,对x表达了爱意。,表达了爱意。,0
4.56,绅士舞步,事件屋のマンボ,持续,事件屋外传 红莲篇<br/>「最强的男人不会停歇」任务报酬,/mandervillemambo,064382.tex,对x非常绅士地跳起了舞。,跳起了绅士舞步。,0
4.56,心意,心づけ,通常,蛮族故事剧情任务 红莲篇<br/>「三种至宝」任务报酬,/gratuity,064378.tex,对x撒钱以示心意。,撒了一把钱以示心意,0
4.55,振作精神,ガッツポーズ,通常,「优雷卡 丰水之地」<br/> 「发生变异的结冰上锁宝箱」一定几率掉落,/fistpump,064379.tex,为x鼓劲。,振作起了精神。,0
*,灵光一现,閃く,通常,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/eureka,064089.tex,看着x脑海里突然灵光一现。,脑海里突然灵光一现。,0
*,绅士风度,事件屋の決めポーズ,持续,"随风而逝的结局<br/>茱莉安（乌尔达哈来生回廊 X:12.1 , Y:11.8）",/hildibrand,064079.tex,向x做出了最具有绅士风度的动作。,做出了最具有绅士风度的动作。,0
*,太棒了！,イイ！,通常,"友人的微笑<br/>斯洛菲克斯（田园郡 X:7.6 , Y:6.6）",/haurchefant,064091.tex,觉得x太棒了。,表示太棒了。,0
*,对拳,拳を突き出す,通常,水晶传承站<br/>邀请新人专属奖励,/fistbump,064080.tex,向x伸出了拳头想要对碰一下。,出了一拳。,0
*,胜利欢呼,勝ちどき,通常,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/hurray,064075.tex,在x面前做出了胜利的欢呼！,做出了胜利的欢呼！,0
*,欢呼胜利,勝利を喜ぶ,通常,四国联合军演<br/>主线任务Lv60<br/>每个职业的动作皆有不同,/victorypose,064086.tex,对x传达着胜利的喜悦。,传达着胜利的喜悦。,0
*,准备战斗,戦いに備える,通常,命运的齿轮<br/>主线任务Lv60<br/>每个职业的动作皆有不同,/battlestance,064085.tex,对x做出了战斗的准备动作。,做出了战斗的准备动作。,0
*,战队演武逆黄三式,戦士の演武：参ノ裏,持续,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/rangerpose3l,064099.tex,对x摆出了战队演武逆黄三式的造型。,摆出了战队演武逆黄三式的造型。,0
*,战队演武逆黑二式,戦士の演武：弐ノ裏,持续,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/rangerpose2l,064098.tex,对x摆出了战队演武逆黑二式的造型。,摆出了战队演武逆黑二式的造型。,0
*,战队演武逆红一式,戦士の演武：壱ノ裏,持续,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/rangerpose1l,064097.tex,对x摆出了战队演武逆红一式的造型。,摆出了战队演武逆红一式的造型。,0
*,战队演武正黄三式,戦士の演武：参,持续,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/rangerpose3r,064096.tex,对x摆出了战队演武正黄三式的造型。,摆出了战队演武正黄三式的造型。,0
*,战队演武正黑二式,戦士の演武：弐,持续,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/rangerpose2r,064095.tex,对x摆出了战队演武正黑二式的造型。,摆出了战队演武正黑二式的造型。,0
*,战队演武正红一式,戦士の演武：壱,持续,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/rangerpose1r,064094.tex,对x摆出了战队演武正红一式的造型。,摆出了战队演武正红一式的造型。,0
4.5,优雅仙人刺,サボテンダーポーズ,通常,19年季节活动报酬，现不可获得<br/>可等次年道具商城购买,/sabotender,064381.tex,对x模仿起了仙人刺。,优雅地模仿起了仙人刺。,0
4.4,哼歌,鼻歌,持续,"朱色慕恋<br/>文镇（红玉海X:27.8 , Y:16.4）",/hum,064372.tex,x为x哼唱了一首歌。,开始哼唱一首歌。,0
4.3,胡鹰之舞,ヨルダンス,持续,鱼商(太阳神草原 X:5.8 Y:23.4)兑换<br/>鲶鱼小判：8<br/>需要推进其蛮族声望任务，才能在其商店解放交换,/yoldance,064365.tex,在x面前开始跳起了胡鹰之舞。,跳起了胡鹰之舞。,0
*,祝祷,おまじない,持续,床单(红玉海 X:29.3 Y:16.8)兑换<br/>珊瑚币：3<br/>需要推进其蛮族声望任务，才能在其商店解放交换,/ritualprayer,064349.tex,开始为x祝祷。,开始祝祷。,0
*,魅惑拥抱,魅惑の抱擁,持续,摩偷罗(基拉巴尼亚边区 X:20.9 Y:26.2)兑换<br/>魔金锡币：5<br/>需要推进其蛮族声望任务，才能在其商店解放交换,/charmed,064354.tex,被x迷得神魂颠倒。,中了魅惑拥抱。,0
*,日月之舞,太陽と月の舞,持续,"伊修加德的盟友们<br/>好身手（阿巴拉提亚云海 X:6.7 , Y:14.3）<br/>需要推进其蛮族声望任务，才能解放其任务",/moonlift,064333.tex,在x面前跳起了日月之舞。,跳起了日月之舞。,0
*,太阳之舞,太陽の舞,持续,"敬畏之人<br/>利努瓦利（阿巴拉提亚云海 X:6.6 , Y:14.3）<br/>需要推进其蛮族声望任务，才能解放其任务",/sundance,064084.tex,在x面前跳起了太阳之舞。,跳起了太阳之舞。,0
*,莫古莫古舞,モグモグダンス,持续,"击碎岩石的修复团！<br/>团长莫古京（翻云雾海 X:15.7 , Y:28.9 ）<br/>需要推进其蛮族声望任务，才能解放其任务",/mogdance,064090.tex,在x面前跳起了莫古莫古舞。,跳起了莫古莫古舞。,0
*,黄金之舞,ゴールデンダンス,持续,"纪念品兑换员(金碟游乐场 X:5.1 Y:6.6)兑换<br/>80,000金碟币",/golddance,064083.tex,在x面前跳起了黄金之舞。,跳起了黄金之舞。,0
*,萨维奈舞,サベネアンダンス,持续,"纪念品兑换员(金碟游乐场 X:5.1 Y:6.6)兑换<br/>80,000金碟币",/thavdance,064082.tex,在x面前跳起了萨维奈舞。,跳起了萨维奈舞。,0
*,火盆舞,ボム踊り,持续,季节活动报酬，现不可获得<br/>可等次年道具商城购买,/bombdance,064074.tex,在x面前跳起了火盆舞。,跳起了火盆舞。,0
*,绅士之舞,紳士の舞,持续,随风而逝的结局<br/>事件屋（希尔迪布兰德）,/mandervilledance,064072.tex,在x面前跳起了绅士之舞。,跳起了绅士之舞。,0
*,宫廷之舞,宮廷の舞,持续,"舞女的梦想舞台<br/>支线任务Lv14<br/>佩·莫尔敏（乌尔达哈现世回廊 X:10.8 , Y:9.8）",/balldance,064071.tex,在x面前跳起了宫廷之舞。,跳起了宫廷之舞。,0
*,丰饶之舞,豊穣の舞,持续,"为谁而舞<br/>支线任务Lv14<br/>艾拉尔（格里达尼亚新街 X:12.1 , Y:13.2）",/harvestdance,064070.tex,在x面前跳起了丰饶之舞。,跳起了丰饶之舞。,0
*,踢踏舞,ステップダンス,持续,"快乐的律动之舞<br/>支线任务Lv14<br/>多多赞恩（利姆萨·罗敏萨下层甲板 X:7.5 , Y:12.4）",/stepdance,064069.tex,在x面前跳起了踢踏舞。,跳起了踢踏舞。,0
4.4,表情：忍耐,表情：忍耐,表情,响彻于拂晓之声<br/>主线任务Lv70,/endure,064131.tex,x对x做出了忍耐的表情。,做出了忍耐的表情。,0
*,表情：思索,表情：空想,表情,拂晓的少年<br/>主线任务Lv70,/ponder,064129.tex,对x做出仿佛正在思索的表情。,做出仿佛正在思索的表情。,0
*,表情：沉思,表情：熟考,表情,"各大国防联军的补给负责人处兑换<br/>军票：10,000",/reflect,064126.tex,对着x陷入了沉思。,陷入了沉思。,0
*,表情：咧嘴,表情：破顔,表情,"纪念品兑换员(金碟游乐场 X:5.1 Y:6.6)兑换<br/>20,000金碟币",/biggrin,064125.tex,对x咧嘴笑了。,咧嘴笑了。,0
4.5,提醒,注意する,持续,狼印战绩15000<br/>狼狱停船场（X:4.4 Y:6.1）物资负责人,/reprimand,064380.tex,提醒x注意。,提醒起了周围的人。,0
*,大吃一惊,仰天,通常,"霞(金碟游乐场 X:7.2 Y:7.3)购买<br/>5,000金",/aback,064360.tex,x令大吃一惊。,大吃了一惊。,0
*,单膝跪地,膝を突く,持续,艾西娜(神拳痕 X:13.8 Y:11.8)兑换<br/>杰出兵团成员的手册：6<br/>杰出兵团成员的手册可用500兵团徽章兑换1本,/winded,064359.tex,在x面前单膝跪地。,单膝跪地。,0
*,害怕,怯える,持续,艾西娜(神拳痕 X:13.8 Y:11.8)兑换<br/>杰出兵团成员的手册：6<br/>杰出兵团成员的手册可用500兵团徽章兑换1本,/tremble,064358.tex,被x吓得抱住了头。,害怕地抱住了头。,0
5.x,啦哩吼,ラリホー,通常,系列支线任务「啦哩吼！！」奖励，需完成以下支线后才开放该任务<br />1.矮人族的不良青年（珂露西亚岛X:12.4 Y:9.2 Z:4.1）贝奥图※风脉任务<br />2.小弟的心得！（珂露西亚岛X:13.5 Y:8.3 Z:4.1）罗尼图<br />3.打招呼的特训！（珂露西亚岛X:13.5 Y:8.3 Z:4.1）罗尼图<br />,/laliho,064383.tex,向x道了声啦哩吼。,啦哩吼了一下。,0
4.4,欣赏神典石,トームストーン,通常,APP预约奖励,/tomestone,064375.tex,x开始在x面前欣赏神典石。,开始欣赏神典石。,0
4.36,好冷,寒がる,持续,优雷卡恒冰之地的变异宝箱一定几率开启获得<br/>可通过演技教材:好冷学习，可在交易板购买,/shiver,064368.tex,x觉得x好冷。,感觉好冷。,0
4.35,好热,暑がる,持续,从天之御柱获得天之陶器碎片进行交换<br/>海贼众的资材负责人(红玉海 X:21.2 Y:9.3)<br/>天之陶器碎片：10,/sweat,064367.tex,x感觉热意从x身上扑面而来。,觉得好热。,0
4.36,撩水,水をかける,通常,季节活动：红莲祭（2019）<br/>可等次年道具商城购买,/splash,064366.tex,向x撩起水花。,撩起了水花。,0
4.4,确认,確認,持续,运河宝物库神殿一定几率掉落,/confirm,064373.tex,x开始对x进行确认。,开始进行确认。,0
4.45,说明计划,企みを話す,通常,优雷卡：涌火之地<br/>【发生变异的爆炎上锁宝箱】一定几率开出,/scheme,064374.tex,向xx说明自己的计划。,讲起了自己的计划。,0
4.3,说明,説明,通常,"物资负责人(狼狱停船场 X:4.4 Y:6.1)兑换<br/>狼印战绩：15,000",/elucidate,064369.tex,对x进行了说明。,进行了说明。,0
*,打招呼,挨拶する,通常,千里急报<br/>主线任务Lv70,/greet,064361.tex,向x打招呼。,打了个招呼。,0
*,撒娇,おねだり,通常,官网道具商城购买,/prettyplease,064330.tex,向x撒起了娇。,撒起了娇。,0
*,装死,死んだふり,持续,官网道具商城购买,/playdead,064331.tex,开始在x面前装死。,开始装死。,0
*,托眼镜,眼鏡を正す,通常,"匿名信疑云<br/>支线任务Lv60<br/>特奥莫桑（伊修加德砥柱层 X:10.5 , Y:9.8）",/spectacles,064335.tex,在x面前调整了一下眼镜的位置。,调整了一下眼镜的位置。,0
*,行东方礼,東方風お辞儀,通常,失去斗志的协助者<br/>主线任务Lv62,/easternbow,064340.tex,恭敬地对x行了东方礼。,恭敬地行了东方礼。,0
4.36,练武,演舞,通常,官网道具商城购买,/crimsonlotus,064353.tex,在x面前练起武来。,开始练武。,0
*,练拳,格闘訓練,持续,新的冒险<br/>主线任务Lv70,/box,064348.tex,对x一个右直拳接一个左勾拳。,练起了拳。,0
*,深呼吸,深呼吸,持续,成就：大家的队长1<br/>派遣冒险者分队成功执行任务10次。,/breathcontrol,064344.tex,在x面前做起了深呼吸。,做起了深呼吸。,0
*,稍息,休め,持续,"各大国防联军的补给负责人处兑换<br/>军票：40,000",/atease,064347.tex,对x做出了稍息的姿势。,做出了稍息的姿势。,0
*,立正,気をつけ,持续,"各大国防联军的补给负责人处兑换<br/>军票：40,000",/attention,064346.tex,对x做出了立正的姿势。,做出了立正的姿势。,0
*,俯卧撑,腕立て伏せ,持续,成就：可靠的队长1<br/>完成10次分队攻略任务。,/pushups,064342.tex,在x面前做起了俯卧撑。,做起了俯卧撑。,0
*,仰卧起坐,腹筋運動,持续,成就：大家的队长1<br/>派遣冒险者分队成功执行任务10次。,/situps,064343.tex,在x面前做起了仰卧起坐。,做起了仰卧起坐。,0
*,深蹲,スクワット,持续,成就：大家的队长1<br/>派遣冒险者分队成功执行任务10次。,/squats,064341.tex,在x面前做起了深蹲。,做起了深蹲。,0
*,热身,ウォームアップ,通常,官网道具商城购买,/easternstretch,064092.tex,在x面前做起了热身动作。,做起了热身动作。,0
*,抱拳礼,抱拳礼,通常,官网道具商城购买,/easterngreeting,064088.tex,对x行了一个抱拳礼。,行了一个抱拳礼。,0
*,后空翻,宙返り,通常,官网道具商城购买,/backflip,064087.tex,给x做了一个后空翻。,做了一个后空翻。,0
*,投掷,投げる,通常,"冬日的活动<br/>支线任务Lv36<br/>马考林（库尔札斯中央高地 X:24.9 , Y:27.8）<br/>※在雪地使用投掷，可丢出雪球",/throw,064050.tex,向x投出了什么东西。,投出了什么东西。,0
*,帝国式军礼,帝国式敬礼,通常,另一类军礼<br/>主线任务Lv46,/imperialsalute,064066.tex,对x行帝国式军礼。,行帝国式军礼。,0
