等级,内容,图片,坐标,道具名,链接
1,我要干嘛,,,,
2,主线,,,,
3,前往未知的冒险,071001.tex.png,,,
3,欧吉卡·岑吉卡,npc.png,,,
3,旧萨雷安(X:9.2 Y:11.2),zuobiao.png,id=475&x=9.2&y=11.2,,
2,支线,,,,
3,新职业,,,,
4,蛭蛇剑士,,,,
5,自称蝰蛇剑士的男人,071141.tex.png,,,
5,发愁的裁衣匠,npc.png,,,
5,乌尔达哈现世回廊(X:9.3 Y:9.2),zuobiao.png,id=13&x=9.3&y=9.2,,
4,绘灵法师,,,,
5,绘灵法师的继承者,071141.tex.png,,,
5,发愁的法师,npc.png,,,
5,格里达尼亚旧街(X:8.0 Y:10.3),zuobiao.png,id=3&x=8.0&y=10.3,,
3,职能任务,,,,
4,战斗,,,,
5,蕴含超然之力的祭器,071141.tex.png,,,
5,布鲁克·耶伏,npc.png,,,
5,图莱尤拉(X:12.4 Y:14.5),zuobiao.png,id=855&x=12.4&y=14.5,,
4,生产,,,,
5,珠串万货街,071141.tex.png,,,
5,洛皮利,npc.png,,,
5,图莱尤拉(X:16.1 Y:11.1),zuobiao.png,id=855&x=16.1&y=11.1,,
3,其他,,,,
4,木人,,,,
5,兵器试验塔的使用权,071141.tex.png,,,
5,古怪的研究者,npc.png,,,
5,九号解决方案(X:19.9 Y:17.1),zuobiao.png,id=856&x=19.9&y=17.1,,
4,狩猎,,,,
5,初级图拉尔大陆怪物狩猎,071141.tex.png,,,
5,勇武院的辉鳞族,npc.png,,,
5,图莱尤拉(X:11.8 Y:13.7),zuobiao.png,id=855&x=11.8&y=13.7,,
4,宠物,,,,
5,饥饿之旅：立志篇,071021.tex.png,,,
5,形似玉米的某物,npc.png,,,
5,图莱尤拉(X:16.4 Y:12.8),zuobiao.png,id=855&x=16.4&y=12.8,,
4,幻想药,,,,
5,奇迹之药(送幻想药),071141.tex.png,,,
5,可疑的药商,npc.png,,,
5,乌尔达哈来生回廊(X:13.4 Y:9.2),zuobiao.png,,,
4,探索笔记,,,,
5,图莱尤拉[黄金色的风景],071141.tex.png,,,
5,九号方案[黄金色的风景与新的记录],071141.tex.png,,,
4,生产采集,,,,
5,传承录,,,,
5,秘籍第11卷(7.05),,,,
2,副本,,,,
3,四人本,,,,
4,荒野秘境,,,,
5,荒野秘境 仙人刺谷,071141.tex.png,,,
5,泽伊琪罕,npc.png,,,
5,图莱尤拉(X:13.9 Y:12.4),zuobiao.png,id=855&x=13.9&y=12.4,,
4,噩梦乐园,,,,
5,噩梦乐园 迷途鬼区,071141.tex.png,,,
5,诺斯塔尔吉亚,npc.png,,,
5,九号解决方案(X:18.4 Y:18.1),zuobiao.png,id=856&x=18.4&y=18.1,,
3,八人本,,,,
4,极神,,,,
5,歼殛战,071141.tex.png,,,
5,异国的诗人,npc.png,,,
5,图莱尤拉(X:11.1 Y:14.6),zuobiao.png,id=855&x=11.1&y=14.6,,
4,阿卡狄亚,,,,
5,阿卡狄亚的挑战者(7.01),071141.tex.png,,,
5,ラングラーハットの男,npc.png,,,
5,九号解决方案(X:19.1 Y:18.8),zuobiao.png,id=856&x=19.1&y=18.8,,
4,零式,,,,
5,零式阿卡狄亚 对话开启(7.05),071141.tex.png,,,
5,ガブロ,npc.png,,,
5,九号解决方案(X:22.3 Y:17.1),zuobiao.png,id=856&x=22.3&y=17.1,,
2,地图,,,,
3,挖宝,,,,
4,G17,,,,
5,发型:马尾辫,,,发型样式：马尾辫,
4,G17洞,,,,
5,7.05,daoju.png,,,
5,富婆衣素材:マムーナイト,,,マムーナイト,
5,宠物:ハニーサッカー,,,ハニーサッカー,
5,坐骑素材:トワイライトジェム,,,トワイライトジェム,
5,时尚配饰:リボンパラソル,,,リボンパラソル,
3,危命完成度,,,,
4,奥阔帕恰山,,,,
5,4级宠物:小羊驼,,,小羊驼,
4,亚克特尔树海,,,,
5,4级宠物:伊克提,,,伊克提,
4,夏劳尼荒野,,,,
5,4级鸟甲:图拉尔冒险装甲,,,图拉尔冒险装甲,
5,特殊FATE-卡皮巴拉坐骑,,,梅瓦皮亚拉角笛,
4,未知图6,,,,
5,特殊FATE-松鼠玩偶服,,,米卡头套,
5,特殊FATE-松鼠玩偶服,,,米卡套装,
4,图莱尤拉,,,,
5,肖像教材1,,,肖像教材：图莱尤拉1,
5,肖像教材2,,,肖像教材：图莱尤拉2,
4,九号解决方案,,,,
5,肖像教材1,,,肖像教材：九号解决方案1,
5,肖像教材1,,,肖像教材：九号解决方案2,
5,霓虹阳伞,,,霓虹阳伞,
4,摩杜纳,,,,
5,坐骑:小鸣鼠,,,小鸣鼠角笛,
5,500图拉尔双色宝石的收据 兑换,,,图拉尔双色宝石的收据,
2,PVP,,,,
3,第六季通行证,,,,
4,5级:爆弹怪阳伞,,,爆弹怪阳伞,
4,10级:肖像:火山之心,,,肖像教材：火山之心,
4,15级:宠物:小巧郊狼,,,小巧郊狼,
4,20级:肖像:机关大殿,,,肖像教材：机关大殿,
4,25级:坐骑:压迫者,,,压迫者,
2,其他,,,,
3,狩猎,,,,
4,坐骑:半机械龟,,,半机械龟认证密钥,
4,宠物:蓝猫,,,蓝猫,
4,鸟甲:野地装甲,,,野地装甲,
4,图莱尤拉(X:11.1 Y:14.6),zuobiao.png,id=855&x=13.8&y=13.5,,
3,房屋,,,,
4,新增房屋强制驱离功能,daoju.png,,,
4,新外墙,,,,
5,乡间别墅外墙,,,乡间别墅外墙,
4,潜水艇,,,,
5,新增目的地,daoju.png,,,
5,等级上限提升至120,daoju.png,,,
3,亲信,,,,
4,追加幻体可露儿,daoju.png,,,
4,幻体100级后，将开放新的幻体投影(泳装),,,,
3,闹钟,,,,
4,可设置数量提升至30,daoju.png,,,
4,名称文字数量提升至20,daoju.png,,,
3,黑名单,,,,
4,拉黑的角色将不会显示,daoju.png,,,
4,拉黑的角色的聊天将不会显示,daoju.png,,,
4,同账号下角色共用黑名单,daoju.png,,,
4,黑名单列表可以进行备注,daoju.png,,,
4,新增关键词过滤器功能,daoju.png,,,
1,我得知道,,,,
2,系统方面,,,,
3,可创建「硌狮族(女性)」角色,,,,
3,无人岛优化,,,,
3,新增面部配饰,,,,
4,可在各城市”失物管理员”处领取学习过的配饰,daoju.png,,,
3,暂时关闭幻巧战,,,,
3,新增DLSS相关调试,,,,
4,配置简述与建议,daoju.png,,,https://ngabbs.com/read.php?tid=40670867,
3,追加装备双染色功能,,,,
4,暂仅支持7.0和部分旧版本装备,daoju.png,,,
3,曼武材料可用诗学兑换,,,,
3,道具分解上限提升至710,,,,
3,解限进本战斗中也能退出,,,,
3,公主王子套解除性别限制,,,,
3,双色宝石上限提升至1500,,,,
4,FATE经验加成对双色宝石也适用,daoju.png,,,
3,特殊FATE也会在地图上显示,,,,
3,武僧、龙骑发动极限技时角色将不再移动,,,,
3,追加新职业的死宫系列&绝欧&零式阿罗岛武器,,,,
3,使用幻想药后，在线时间60分钟内可一直重新捏人,,,,
3,新增功能，可从目的列表图标直接发动情感动作和道具配方,,,,
3,新增系统，不显示任务目标周边其他玩家角色功能,daoju.png,,,
3,系统→角色设置→操作设置→全体,,,,
4,找到对应复选框开启/关闭,daoju.png,,,